City,ERank,Index_including rent,Wage index,QRank2005,QRank2004,Points_quality,Rank_2004,Rank_2005
Abidjan,,,,,,,24,26
Adelaide,,,,25,24,102.000000,,
Amsterdam,19,86.400000,60.600000,12,10,104.500000,26,24
Athens,25,79.100000,41.900000,,,,50,41
Auckland,34,71.700000,40.600000,8,5,105.000000,,
Bangkok,60,41.900000,8.700000,,,,,
Barcelona,36,67.700000,45.600000,42,45,99.000000,56,43
Basel,13,92.800000,95.800000,,,,,
Beijing,,,,,,,11,19
Berlin,30,76.200000,57.600000,14,15,103.500000,28,38
Bern,,,,8,5,105.000000,,
Birmingham,,,,,,,51,47
Bogota,61,38.800000,11.600000,,,,,
Boston,,,,36,42,100.500000,,
Bratislava,54,49.900000,13.100000,,,,44,31
Brisbane,,,,31,24,101.500000,,
Brussels,24,80.900000,60.000000,13,13,104.000000,53,41
Bucharest,68,32.200000,8.200000,,,,,
Budapest,41,65.300000,18.300000,,,,34,25
BuenosAires,70,27.800000,9.400000,,,,,
Calgary,,,,25,24,102.000000,,
Caracas,46,60.800000,11.800000,,,,,
Chicago,9,99.100000,72.800000,51,50,98.000000,,
Copenhagen,5,104.100000,79.900000,8,5,105.000000,8,8
Dakar,,,,,,,47,36
Douala,,,,,,,25,22
Dubai,42,65.300000,33.100000,,,,,
Dublin,11,97.500000,73.600000,22,23,102.500000,14,13
Dusseldorf,,,,5,12,105.500000,40,32
Frankfurt,22,82.600000,63.300000,5,5,105.500000,42,34
Geneva,10,98.200000,88.500000,1,1,106.500000,6,6
Glasgow,,,,,,,41,40
Hamburg,,,,25,24,102.000000,42,49
Hanoi,,,,,,,29,50
Helsinki,14,91.800000,62.100000,25,24,102.000000,23,21
HongKong,6,100.600000,31.200000,,,,5,8
Honolulu,,,,25,24,102.000000,,
Istanbul,18,89.400000,24.100000,,,,18,23
Jakarta,50,55.000000,7.500000,,,,,
Johannesburg,45,62.700000,26.500000,,,,,
Karachi,69,29.100000,3.500000,,,,,
Kiev,67,32.700000,6.200000,,,,,
Kobe,,,,39,39,100.000000,,
KualaLumpur,64,36.500000,15.000000,,,,,
Lagos,49,55.300000,6.800000,,,,,
Lexington,,,,46,45,98.500000,,
Lima,66,32.700000,10.900000,,,,,
Lisbon,31,74.500000,27.200000,53,52,97.500000,,
Ljubljana,43,64.600000,19.600000,,,,,
London,1,122.400000,65.900000,39,36,100.000000,2,3
LosAngeles,28,76.800000,65.400000,,,,27,44
Lugano,16,90.300000,85.100000,,,,,
Luxembourg,23,81.000000,82.000000,14,15,103.500000,39,33
Lyon,,,,36,36,100.500000,,
Madrid,33,73.900000,43.500000,42,39,99.000000,61,46
Manama,47,58.200000,26.500000,,,,,
Manila,63,37.500000,5.600000,,,,,
Melbourne,,,,14,12,103.500000,,
MexicoCity,51,54.900000,9.600000,,,,,
Miami,40,65.300000,56.700000,,,,,
Milan,17,89.500000,43.600000,51,50,98.000000,13,11
Montreal,37,66.700000,53.300000,22,24,102.500000,,
Moscow,38,66.200000,16.900000,,,,3,4
Mumbai,71,27.800000,3.800000,,,,,
Munich,,,,5,10,105.500000,43,37
Nairobi,56,47.600000,4.500000,,,,,
NewYork,3,105.000000,70.600000,,,,,
NewYorkCity,,,,39,39,100.000000,12,13
Nicosia,21,85.700000,56.000000,,,,,
Nurnberg,,,,22,20,102.500000,,
Osaka,,,,46,45,98.500000,4,2
Oslo,2,109.400000,86.200000,31,32,101.500000,15,10
Ottawa,,,,20,20,103.000000,,
Paris,8,99.300000,56.400000,31,32,101.500000,17,12
Perth,,,,20,20,103.000000,,
Pittsburgh,,,,46,45,98.500000,,
Portland,,,,42,42,99.000000,,
Prague,59,45.200000,13.900000,,,,49,28
Riga,62,37.700000,13.300000,,,,,
RiodeJaneiro,57,46.000000,11.700000,,,,,
Rome,20,86.200000,36.200000,,,,21,17
SanFrancisco,,,,25,24,102.000000,38,50
SantiagodeChile,58,45.800000,16.300000,,,,,
SaoPaulo,53,51.800000,15.100000,,,,,
Seattle,,,,46,45,98.500000,,
Seoul,27,77.700000,31.900000,,,,7,5
Shanghai,44,63.500000,12.400000,,,,16,30
Singapore,35,71.200000,26.200000,34,34,101.000000,46,34
Sofia,65,36.400000,6.600000,,,,,
Stockholm,12,95.200000,61.900000,14,15,103.500000,22,18
StPetersburg,,,,,,,10,15
Sydney,26,77.900000,47.400000,8,5,105.000000,20,20
Taipei,29,76.600000,33.300000,,,,31,29
Tallinn,52,52.700000,13.500000,,,,,
TelAviv,39,65.400000,31.300000,,,,33,39
Tokyo,4,104.600000,67.600000,34,34,101.000000,1,1
Toronto,32,74.300000,54.100000,14,12,103.500000,,
Tsukuba,,,,53,52,97.500000,,
Vancouver,,,,3,3,106.000000,,
Vienna,15,90.800000,56.000000,3,3,106.000000,19,16
Vilnius,55,48.200000,11.300000,,,,,
Warsaw,48,55.500000,12.800000,,,,76,24
WashingtonDC,,,,42,50,99.000000,,
Wellington,,,,14,15,103.500000,,
WhitePlains,,,,,,,52,45
Winston,,,,46,44,98.500000,,
Yokohama,,,,36,36,100.500000,,
Zagreb,,,,,,,59,48
Zurich,7,100.000000,100.000000,1,2,106.500000,9,7
