City,Country,Rank_2004,Rank_2005
Tokyo ,Japan            ,1,1
Osaka ,Japan            ,4,2
London ,UK               ,2,3
Moscow ,Russia           ,3,4
Seoul ,South Korea      ,7,5
Geneva ,Switzerland      ,6,6
Zurich ,Switzerland      ,9,7
Copenhagen ,Denmark          ,8,8
Hong Kong ,China            ,5,8
Oslo ,Norway           ,15,10
Milan ,Italy            ,13,11
Paris ,France           ,17,12
New York City ,USA              ,12,13
Dublin ,Ireland          ,14,13
St Petersburg ,Russia           ,10,15
Vienna ,Austria          ,19,16
Rome ,Italy            ,21,17
Stockholm ,Sweden           ,22,18
Beijing ,China            ,11,19
Sydney ,Australia        ,20,20
Helsinki ,Finland          ,23,21
Douala ,Cameroon         ,25,22
Istanbul ,Turkey           ,18,23
Amsterdam ,Netherlands      ,26,24
Budapest ,Hungary          ,34,25
Abidjan ,Cote d'Ivoire    ,24,26
Warsaw ,Poland           ,76,24
Prague ,Czech Republic   ,49,28
Taipei ,China            ,31,29
Shanghai ,China            ,16,30
Bratislava ,Slovak Republic  ,44,31
Dusseldorf ,Germany          ,40,32
Luxembourg ,Luxembourg       ,39,33
Singapore ,Singapore        ,46,34
Frankfurt ,Germany          ,42,34
Dakar ,Senegal          ,47,36
Munich ,Germany          ,43,37
Berlin ,Germany          ,28,38
Tel Aviv ,Israel           ,33,39
Glasgow ,UK               ,41,40
Athens ,Greece           ,50,41
Brussels ,Belgium          ,53,41
Barcelona ,Spain            ,56,43
Los Angeles ,USA              ,27,44
White Plains ,USA              ,52,45
Madrid ,Spain            ,61,46
Birmingham ,UK               ,51,47
Zagreb ,Croatia          ,59,48
Hamburg ,Germany          ,42,49
Hanoi ,Vietnam          ,29,50
San Francisco ,USA              ,38,50
