Cities,Wage index
Zurich ,100
Basel ,95.8
Geneva ,88.5
Oslo ,86.2
Lugano ,85.1
Luxembourg ,82
Copenhagen ,79.9
Dublin ,73.6
Chicago ,72.8
New York ,70.6
Tokyo ,67.6
London ,65.9
Los Angeles ,65.4
Frankfurt ,63.3
Helsinki ,62.1
Stockholm ,61.9
Amsterdam ,60.6
Brussels ,60
Berlin ,57.6
Miami ,56.7
Paris ,56.4
Vienna ,56
Nicosia ,56
Toronto ,54.1
Montreal ,53.3
Sydney ,47.4
Barcelona ,45.6
Milan ,43.6
Madrid ,43.5
Athens ,41.9
Auckland ,40.6
Rome ,36.2
Taipei ,33.3
Dubai ,33.1
Seoul ,31.9
Tel Aviv ,31.3
Hong Kong ,31.2
Lisbon ,27.2
Johannesburg,26.5
Manama ,26.5
Singapore ,26.2
Istanbul ,24.1
Ljubljana ,19.6
Budapest ,18.3
Moscow ,16.9
Santiago de Chile,16.3
Sao Paulo ,15.1
Kuala Lumpur,15
Prague ,13.9
Tallinn ,13.5
Riga ,13.3
Bratislava ,13.1
Warsaw ,12.8
Shanghai ,12.4
Caracas ,11.8
Rio de Janeiro,11.7
Bogota,11.6
Vilnius ,11.3
Lima ,10.9
Mexico City ,9.6
Buenos Aires,9.4
Bangkok ,8.7
Bucharest ,8.2
Jakarta ,7.5
Lagos ,6.8
Sofia ,6.6
Kiev ,6.2
Manila ,5.6
Nairobi ,4.5
Mumbai ,3.8
Karachi ,3.5
